"Timestamp","ProcessName","MemoryUsageMB"
"10/31/2024 12:08:11 PM","TextInputHost","61.45"
"10/31/2024 12:08:11 PM","timecamp","262.49"
"10/31/2024 12:08:11 PM","timecamp_widget","55.61"
"10/31/2024 12:08:11 PM","TiWorker","12.25"
"10/31/2024 12:08:11 PM","TrustedInstaller","8.19"
"10/31/2024 12:08:11 PM","uhssvc","15.61"
"10/31/2024 12:08:11 PM","UpdaterService","41.55"
"10/31/2024 12:08:11 PM","UserOOBEBroker","9.77"
"10/31/2024 12:08:11 PM","vmware-usbarbitrator64","11.89"
"10/31/2024 12:08:11 PM","WaAppAgent","75.69"
"10/31/2024 12:08:11 PM","WaSecAgentProv","7.08"
"10/31/2024 12:08:11 PM","wfcrun32","25.18"
"10/31/2024 12:08:11 PM","Widgets","51.22"
"10/31/2024 12:08:11 PM","WidgetService","24.04"
"10/31/2024 12:08:11 PM","WindowsAzureGuestAgent","62.97"
"10/31/2024 12:08:11 PM","wininit","6.55"
"10/31/2024 12:08:11 PM","winlogon","10.49"
"10/31/2024 12:08:11 PM","winlogon","10.86"
"10/31/2024 12:08:11 PM","WmiPrvSE","36.35"
"10/31/2024 12:08:11 PM","WmiPrvSE","25.06"
"10/31/2024 12:08:11 PM","WmiPrvSE","19.48"
"10/31/2024 12:08:11 PM","WmiPrvSE","14.1"
"10/31/2024 12:08:11 PM","WUDFHost","31.95"
"10/31/2024 12:08:11 PM","WUDFHost","6.28"
